样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S082-02,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,广东省,2026-08-03,41-45岁,女,私营业主/个体经营者,100万以上,已婚一孩,1人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,80-220万,流失/转向竞品,2个月以上,本人+配偶,父母；子女,家庭品质升级；通勤代步,家庭出行；城市通勤；周末短途,懂车帝/汽车之家口碑；车主群/社群讨论；小红书/抖音内容,是,乘坐舒适；售后服务；驾驶质感,希望在预算内获得更稳定的综合体验,价格是否值得；车机/智能化是否落后；高端服务体验,揽胜；奥迪Q8,倾向本品,待定,,受访者关注乘坐舒适，主要用于家庭出行；同时对价格是否值得仍有疑问，决策中会对比揽胜；奥迪Q8。,先围绕家庭出行场景切入，再把乘坐舒适转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-03,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,福建省,2026-06-06,41-45岁,男,私营业主/个体经营者,50-80万,三代同堂,4人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-220万,已购/用车复盘,1-2个月,本人+配偶,父母；KOL/博主；配偶,品牌升级；商务接待,城市通勤；周末短途,懂车帝/汽车之家口碑；小红书/抖音内容；朋友/同事推荐,是,安全性；乘坐舒适；品牌认知,在意品牌形象和商务/社交场景认可度,车机/智能化是否落后；油耗是否偏高；价格是否值得,奥迪Q8；Cayenne；雷克萨斯LX,价格合适会买,待定,,受访者关注安全性，主要用于城市通勤；同时对车机/智能化是否落后仍有疑问，决策中会对比奥迪Q8；Cayenne；雷克萨斯LX。,先围绕城市通勤场景切入，再把安全性转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-04,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,四川省,2026-07-28,31-35岁,男,金融/地产从业者,50-80万,已婚二孩及以上,3人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,80-220万,初步了解,2个月以上,企业/业务需求,KOL/博主；父母,商务接待；品牌升级,周末短途；城市通勤；家庭出行,朋友/同事推荐；小红书/抖音内容,是,售后服务；价格权益；品牌认知,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,权益透明度；保养维修费用；竞品是否更强,Cayenne；雷克萨斯LX,已购,是,,受访者关注售后服务，主要用于周末短途；同时对权益透明度仍有疑问，决策中会对比Cayenne；雷克萨斯LX。,先围绕周末短途场景切入，再把售后服务转化为可感知体验；对权益透明度需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-05,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,广东省,2026-08-06,36-40岁,女,金融/地产从业者,100万以上,三代同堂,2人,是,是,家中已有燃油车,增购,家中已有燃油车,80-220万,流失/转向竞品,1-2个月,家庭共同决策,车主评价；子女,空间升级；家庭品质升级,周末短途；家庭出行,朋友/同事推荐；品牌直营店/4S店,是,驾驶质感；可靠性；售后服务；价格权益,希望同预算下配置和权益更划算,价格是否值得；保养维修费用；售后维修成本,雷克萨斯LX；路虎卫士,倾向本品,待定,,受访者关注驾驶质感，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比雷克萨斯LX；路虎卫士。,先围绕周末短途场景切入，再把驾驶质感转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-06,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,河南省,2026-08-15,46岁以上,男,金融/地产从业者,80-100万,三代同堂,1人,是,是,无车,首购,无车,80-220万,已购/用车复盘,1-2个月,家庭共同决策,子女；车主评价,品牌升级；换新能源；空间升级,周末短途；家庭出行；城市通勤,品牌直营店/4S店；朋友/同事推荐,否,安全性；空间舒适；可靠性,希望兼顾家人乘坐和周末出行,油耗是否偏高；竞品是否更强；车机/智能化是否落后,路虎卫士；揽胜；奥迪Q8,已下订,是,,受访者关注安全性，主要用于周末短途；同时对油耗是否偏高仍有疑问，决策中会对比路虎卫士；揽胜；奥迪Q8。,先围绕周末短途场景切入，再把安全性转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-07,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,陕西省,2026-07-22,36-40岁,女,中基层管理者,100万以上,三代同堂,3人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-220万,已试驾,1-2个月,本人+配偶,KOL/博主；子女；父母,家庭出行升级；商务接待,家庭出行；周末短途；城市通勤,品牌直营店/4S店；小红书/抖音内容,是,乘坐舒适；安全性；售后服务,希望在预算内获得更稳定的综合体验,油耗是否偏高；保值率；价格是否值得,揽胜；奥迪Q8,继续比较,待定,,受访者关注乘坐舒适，主要用于家庭出行；同时对油耗是否偏高仍有疑问，决策中会对比揽胜；奥迪Q8。,先围绕家庭出行场景切入，再把乘坐舒适转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S082-08,路虎(进口),揽胜运动,揽胜运动,89.80-218.00万,100万以上,常规混合动力,SUV,中大型,5座,山东省,2026-08-19,46岁以上,男,企业高管/企业主,100万以上,三代同堂,1人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-220万,已试驾,2个月以上,家庭共同决策,配偶；KOL/博主；子女,商务接待；家庭品质升级；换新能源,周末短途；家庭出行；城市通勤,车主群/社群讨论；朋友/同事推荐,是,品牌认知；保值率；乘坐舒适；空间舒适,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,竞品是否更强；车机/智能化是否落后,奥迪Q8；Cayenne,价格合适会买,待定,,受访者关注品牌认知，主要用于周末短途；同时对竞品是否更强仍有疑问，决策中会对比奥迪Q8；Cayenne。,先围绕周末短途场景切入，再把品牌认知转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-01,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,重庆市,2026-06-26,41-45岁,男,企业高管/企业主,50-80万,已婚一孩,3人,是,是,家中已有燃油车,增购,家中已有燃油车,80-120万,已试驾,2个月以上,本人+配偶,子女；配偶；车主评价,品牌升级；商务接待；空间升级,周末短途；城市通勤,KOL评测；朋友/同事推荐；品牌直营店/4S店,是,可靠性；售后服务；外观设计,希望在预算内获得更稳定的综合体验,后排空间是否够用；保养维修费用；保值率,宝马7系；奔驰S级,倾向本品,待定,,受访者关注可靠性，主要用于周末短途；同时对后排空间是否够用仍有疑问，决策中会对比宝马7系；奔驰S级。,先围绕周末短途场景切入，再把可靠性转化为可感知体验；对后排空间是否够用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-02,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,陕西省,2026-08-08,46岁以上,男,私营业主/个体经营者,80-100万,已婚二孩及以上,4人,是,否,家中已有新能源车,增购,家中已有新能源车,80-120万,初步了解,1-2个月,本人,子女；KOL/博主；车主评价,商务接待；品牌升级,城市通勤；家庭出行；周末短途,车主群/社群讨论；品牌直营店/4S店,是,安全性；可靠性；保值率,希望在预算内获得更稳定的综合体验,保值率；竞品是否更强,奔驰S级；尊界S800,已购,是,,受访者关注安全性，主要用于城市通勤；同时对保值率仍有疑问，决策中会对比奔驰S级；尊界S800。,先围绕城市通勤场景切入，再把安全性转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-03,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,广东省,2026-08-25,41-45岁,女,企业高管/企业主,100万以上,已婚一孩,3人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-120万,对比评估,1-2个月,本人+配偶,车主评价；KOL/博主；子女,品牌升级；换新能源；商务接待,城市通勤；家庭出行；周末短途,车主群/社群讨论；懂车帝/汽车之家口碑；小红书/抖音内容,是,品牌认知；价格权益；安全性,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,保养维修费用；底盘舒适性,尊界S800；奥迪A8；Panamera,倾向本品,待定,,受访者关注品牌认知，主要用于城市通勤；同时对保养维修费用仍有疑问，决策中会对比尊界S800；奥迪A8；Panamera。,先围绕城市通勤场景切入，再把品牌认知转化为可感知体验；对保养维修费用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-04,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,山东省,2026-08-02,41-45岁,男,企业高管/企业主,50-80万,已婚一孩,3人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,80-120万,已试驾,2个月以上,本人+配偶,配偶；KOL/博主,通勤代步；换新能源；家庭品质升级,城市通勤；商务接待,车主群/社群讨论；KOL评测；懂车帝/汽车之家口碑,是,价格权益；豪华感/质感；通勤舒适；可靠性,希望同预算下配置和权益更划算,油耗是否偏高；权益透明度；竞品是否更强,奥迪A8；Panamera,已购,是,,受访者关注价格权益，主要用于城市通勤；同时对油耗是否偏高仍有疑问，决策中会对比奥迪A8；Panamera。,先围绕城市通勤场景切入，再把价格权益转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-05,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,浙江省,2026-08-08,41-45岁,男,企业高管/企业主,50-80万,已婚无孩,1人,否,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-120万,价格谈判,2个月以上,本人+配偶,车主评价；配偶,商务接待；品牌升级；换新能源,城市通勤；家庭出行；商务接待,懂车帝/汽车之家口碑；小红书/抖音内容,是,通勤舒适；乘坐舒适；售后服务,希望在预算内获得更稳定的综合体验,车机/智能化是否落后；保值率,Panamera；宝马7系,倾向本品,待定,,受访者关注通勤舒适，主要用于城市通勤；同时对车机/智能化是否落后仍有疑问，决策中会对比Panamera；宝马7系。,先围绕城市通勤场景切入，再把通勤舒适转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-06,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,浙江省,2026-08-01,41-45岁,男,金融/地产从业者,50-80万,商务/个人用车,2人,否,否,家中已有新能源车,增购,家中已有新能源车,80-120万,对比评估,2个月以上,本人,车主评价；朋友/同事；KOL/博主,商务接待；家庭品质升级,周末短途；城市通勤；商务接待,品牌直营店/4S店；朋友/同事推荐,是,外观设计；空间舒适；保值率；乘坐舒适,希望兼顾家人乘坐和周末出行,价格是否值得；售后维修成本；车机/智能化是否落后,宝马7系；奔驰S级；尊界S800,已下订,是,,受访者关注外观设计，主要用于周末短途；同时对价格是否值得仍有疑问，决策中会对比宝马7系；奔驰S级；尊界S800。,先围绕周末短途场景切入，再把外观设计转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-07,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,山东省,2026-06-05,36-40岁,女,企业高管/企业主,50-80万,商务/个人用车,4人,否,否,家中已有燃油车,增购,家中已有燃油车,80-120万,流失/转向竞品,1-2个月,本人,朋友/同事；车主评价；销售顾问,家庭品质升级；家庭出行升级,城市通勤；商务接待,朋友/同事推荐；车主群/社群讨论；KOL评测,是,外观设计；驾驶质感；通勤舒适,希望在预算内获得更稳定的综合体验,高端服务体验；权益透明度；保值率,奔驰S级；尊界S800,继续比较,待定,,受访者关注外观设计，主要用于城市通勤；同时对高端服务体验仍有疑问，决策中会对比奔驰S级；尊界S800。,先围绕城市通勤场景切入，再把外观设计转化为可感知体验；对高端服务体验需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S083-08,雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50-120.00万,100万以上,常规混合动力,轿车,大型,5座,北京市,2026-08-11,41-45岁,男,金融/地产从业者,80-100万,已婚无孩,2人,否,是,家中已有新能源车,增购,家中已有新能源车,80-120万,对比评估,2个月以上,本人+配偶,车主评价；KOL/博主,家庭出行升级；商务接待；换新能源,家庭出行；周末短途；城市通勤,朋友/同事推荐；车主群/社群讨论；小红书/抖音内容,否,安全性；售后服务；可靠性；豪华感/质感,希望在预算内获得更稳定的综合体验,后备厢空间；保值率,尊界S800；奥迪A8,转向竞品,否,竞品价格更低,受访者关注安全性，主要用于家庭出行；同时对后备厢空间仍有疑问，决策中会对比尊界S800；奥迪A8。,先围绕家庭出行场景切入，再把安全性转化为可感知体验；对后备厢空间需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-01,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,广东省,2026-06-20,36-40岁,男,私营业主/个体经营者,100万以上,已婚二孩及以上,4人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,80-100万,对比评估,2个月以上,父母参与,KOL/博主；父母,换新能源；品牌升级,家庭出行；长途自驾,懂车帝/汽车之家口碑；KOL评测,否,可靠性；第三排/多人乘坐；驾驶质感；豪华感/质感,希望在预算内获得更稳定的综合体验,价格是否值得；油耗是否偏高；车机/智能化是否落后,路虎卫士；揽胜运动,倾向本品,待定,,受访者关注可靠性，主要用于家庭出行；同时对价格是否值得仍有疑问，决策中会对比路虎卫士；揽胜运动。,先围绕家庭出行场景切入，再把可靠性转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-02,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,安徽省,2026-06-25,36-40岁,不便透露,企业高管/企业主,80-100万,已婚一孩,2人,是,否,家中已有新能源车,增购,家中已有新能源车,80-100万,已试驾,1-2个月,本人+配偶,配偶；车主评价,商务接待；家庭品质升级,城市通勤；周末短途；长途自驾,品牌直营店/4S店；KOL评测；车主群/社群讨论,是,可靠性；豪华感/质感；品牌认知,在意品牌形象和商务/社交场景认可度,售后维修成本；车身尺寸是否好开,揽胜运动；奥迪Q8,价格合适会买,待定,,受访者关注可靠性，主要用于城市通勤；同时对售后维修成本仍有疑问，决策中会对比揽胜运动；奥迪Q8。,先围绕城市通勤场景切入，再把可靠性转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-03,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,湖南省,2026-07-05,36-40岁,女,私营业主/个体经营者,50-80万,已婚一孩,3人,是,否,家中已有燃油车,增购,家中已有燃油车,80-100万,初步了解,1-2个月,本人+配偶,配偶；车主评价,家庭品质升级；空间升级；家庭出行升级,家庭出行；多成员家庭出行；周末短途,朋友/同事推荐；品牌直营店/4S店；KOL评测,否,豪华感/质感；售后服务；驾驶质感,希望在预算内获得更稳定的综合体验,油耗是否偏高；售后维修成本,奥迪Q8；雷克萨斯GX；Taycan,倾向本品,待定,,受访者关注豪华感/质感，主要用于家庭出行；同时对油耗是否偏高仍有疑问，决策中会对比奥迪Q8；雷克萨斯GX；Taycan。,先围绕家庭出行场景切入，再把豪华感/质感转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-04,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,安徽省,2026-08-17,41-45岁,男,金融/地产从业者,100万以上,已婚一孩,1人,是,否,BBA/传统豪华车,换购,BBA/传统豪华车,80-100万,已试驾,2周-1个月,父母参与,子女；父母；配偶,通勤代步；商务接待；家庭品质升级,家庭出行；接送孩子,朋友/同事推荐；KOL评测,是,售后服务；可靠性；豪华感/质感,希望在预算内获得更稳定的综合体验,高端服务体验；油耗是否偏高,雷克萨斯GX；Taycan,继续比较,待定,,受访者关注售后服务，主要用于家庭出行；同时对高端服务体验仍有疑问，决策中会对比雷克萨斯GX；Taycan。,先围绕家庭出行场景切入，再把售后服务转化为可感知体验；对高端服务体验需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-05,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,安徽省,2026-08-24,31-35岁,男,企业高管/企业主,80-100万,三代同堂,3人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-100万,价格谈判,2个月以上,家庭共同决策,配偶；KOL/博主；父母,换新能源；家庭品质升级,接送孩子；城市通勤；长途自驾,小红书/抖音内容；朋友/同事推荐,否,价格权益；豪华感/质感；可靠性；第三排/多人乘坐,希望同预算下配置和权益更划算,车机/智能化是否落后；油耗是否偏高；车身尺寸是否好开,Taycan；路虎卫士,已购,是,,受访者关注价格权益，主要用于接送孩子；同时对车机/智能化是否落后仍有疑问，决策中会对比Taycan；路虎卫士。,先围绕接送孩子场景切入，再把价格权益转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-06,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,河南省,2026-08-16,36-40岁,男,私营业主/个体经营者,100万以上,已婚二孩及以上,2人,是,否,家中已有新能源车,增购,家中已有新能源车,80-100万,已试驾,2个月以上,本人+配偶,车主评价；KOL/博主；子女,家庭出行升级；换新能源；品牌升级,长途自驾；多成员家庭出行；周末短途,朋友/同事推荐；品牌直营店/4S店；小红书/抖音内容,是,安全性；品牌认知；乘坐舒适,在意品牌形象和商务/社交场景认可度,停车便利性；车机/智能化是否落后,路虎卫士；揽胜运动；奥迪Q8,已购,是,,受访者关注安全性，主要用于长途自驾；同时对停车便利性仍有疑问，决策中会对比路虎卫士；揽胜运动；奥迪Q8。,先围绕长途自驾场景切入，再把安全性转化为可感知体验；对停车便利性需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-07,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,湖北省,2026-08-09,36-40岁,女,金融/地产从业者,100万以上,已婚一孩,4人,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-100万,已购/用车复盘,2个月以上,家庭共同决策,子女；KOL/博主,空间升级；家庭品质升级；家庭出行升级,长途自驾；家庭出行；多成员家庭出行,懂车帝/汽车之家口碑；小红书/抖音内容,是,品牌认知；可靠性；售后服务,在意品牌形象和商务/社交场景认可度,保值率；价格是否值得；保养维修费用,揽胜运动；奥迪Q8,倾向本品,待定,,受访者关注品牌认知，主要用于长途自驾；同时对保值率仍有疑问，决策中会对比揽胜运动；奥迪Q8。,先围绕长途自驾场景切入，再把品牌认知转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S084-08,丰田(进口),埃尔法,埃尔法,89.90-92.90万,80-100万,常规混合动力,MPV,中大型,7座,广东省,2026-08-08,36-40岁,男,私营业主/个体经营者,50-80万,三代同堂,5人及以上,是,是,BBA/传统豪华车,换购,BBA/传统豪华车,80-100万,已试驾,2个月以上,家庭共同决策,父母；配偶；KOL/博主,商务接待；家庭品质升级,多成员家庭出行；家庭出行,小红书/抖音内容；KOL评测；品牌直营店/4S店,是,安全性；品牌认知；豪华感/质感,在意品牌形象和商务/社交场景认可度,车机/智能化是否落后；停车便利性；保值率,奥迪Q8；雷克萨斯GX,已购,是,,受访者关注安全性，主要用于多成员家庭出行；同时对车机/智能化是否落后仍有疑问，决策中会对比奥迪Q8；雷克萨斯GX。,先围绕多成员家庭出行场景切入，再把安全性转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S085-01,仰望,仰望U7,仰望U7,65.80-88.80万,70-80万,纯电动；非增程式插混,轿车,大型,4座；5座,上海市,2026-07-26,36-40岁,女,私营业主/个体经营者,80-100万,商务/个人用车,3人,否,否,家中已有燃油车,增购,家中已有燃油车,60-90万,已试驾,1-2个月,本人,KOL/博主；车主评价,长途/自驾；空间升级；家庭品质升级,周末短途；充电便利场景,车主群/社群讨论；KOL评测,是,乘坐舒适；通勤舒适；空间舒适；智能座舱,希望兼顾家人乘坐和周末出行,后排空间是否够用；增程/插混系统可靠性,尊界S800；奥迪A8,倾向本品,待定,,受访者关注乘坐舒适，主要用于周末短途；同时对后排空间是否够用仍有疑问，决策中会对比尊界S800；奥迪A8。,先围绕周末短途场景切入，再把乘坐舒适转化为可感知体验；对后排空间是否够用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S085-02,仰望,仰望U7,仰望U7,65.80-88.80万,70-80万,纯电动；非增程式插混,轿车,大型,4座；5座,北京市,2026-07-03,46岁以上,女,私营业主/个体经营者,100万以上,商务/个人用车,3人,否,否,家中已有新能源车,增购,家中已有新能源车,60-90万,对比评估,2个月以上,本人+配偶,KOL/博主；朋友/同事；车主评价,低成本出行；空间升级；减少里程焦虑,城市通勤；周末短途；老人小孩乘坐,KOL评测；懂车帝/汽车之家口碑,是,智能座舱；价格权益；安全性,希望同预算下配置和权益更划算,后备厢空间；售后网络是否成熟,奥迪A8；宝马7系,继续比较,待定,,受访者关注智能座舱，主要用于城市通勤；同时对后备厢空间仍有疑问，决策中会对比奥迪A8；宝马7系。,先围绕城市通勤场景切入，再把智能座舱转化为可感知体验；对后备厢空间需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
